Time,Train accuracy,Test accuracy,Kendall's tau,General seed,A train seed,Model seed,D train seed,Learn seed,A test seed,Initial model seed,SA seed,N_tr,N_te,M,K_o,K_e,N_bc,Method,Model,Gamma,Non dictator,Lexicographic order,Profiles number,Max profiles number,T0,Alpha,L,Tf,Max time,Max iter,Max iter non improving,Seed,A train seed,Model seed,D train seed,Learn seed,A test seed
49.785202503204346,0.78,0.6608,0.5869097673547469,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,50,50,3,10,1,50,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
46.09240436553955,0.92,0.652,0.4229883824665613,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,50,50,5,10,1,50,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
48.74122881889343,0.9,0.5555555555555556,0.31658894496104767,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,30,30,7,10,1,30,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
50.42314171791077,0.9333333333333333,0.6066666666666667,0.23507622406976872,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,30,30,5,10,2,30,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
53.16267490386963,0.95,0.725,0.542107045664976,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,20,20,7,10,2,20,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
52.468246936798096,0.875,0.5575,0.3048914577900391,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,40,40,3,10,2,40,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
55.22021532058716,1.0,0.745,0.46965862692213345,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,20,20,7,10,3,20,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
56.368672132492065,0.9666666666666667,0.6688888888888889,0.4161224436656339,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,30,30,3,10,3,30,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
58.51638984680176,0.875,0.59125,0.5536835865335965,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,40,40,7,10,1,40,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
61.549389600753784,0.9333333333333333,0.7177777777777777,0.44421607835957216,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,30,30,5,10,3,30,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
63.021162271499634,0.75,0.585,0.4952644255263091,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,60,60,3,10,1,60,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
63.45595932006836,0.9666666666666667,0.6377777777777778,0.31729866256757416,0,2968811710,3677149159,745650761,2884920346,2642120001,2590541744,117660781,30,30,7,10,2,30,SA,RMP,None,None,None,None,None,1.0,0.99,1,0.001,None,None,None,0,None,None,None,None,None
